Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,N_treatment_to_control,Effective_n_control,Primary_anaesthetic,Secondary_anaesthetic,Surgical_level,Brain_area,RB_dose,RB_dose_units,RB_dose_mgkg,Light_intensity,Light_intensity_units,Light_intensity_Wcm2,Light_type,Light_source,Light_wavelength,Light_aperture,Light_time,Treatment,Treatment_class,Treatment_dose,Treatment_dose_units,Treatment_initial_hour,Treatment_time_class,Infarct_time,Infarct_measurement,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_diff_from_control,Infarct_diff_from_control_error,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment,Scale_type,Scale_score_control,Scale_error_control,Scale_score_treatment,Scale_error_treatment,Scale_error_units,Scale_time,Multiple_timepoints,Multiple_doses
Lu_2017,"Lu, H.",2017,Hemodynamic effects of intraoperative anesthetics administration in photothrombotic stroke model: a study using laser speckle imaging,b,Rat,Sprague-Dawley,Male,None,NA,NR,12,NR,300,320,340,2,11,0,NA,NA,NA,Isoflurane,NA,Cranial window (asleep induction),Distal middle cerebral artery (dMCA),80,mg/kg,80,5,mW/mm2,0.5,Fibre-optic,NR,532,0.75,15,None,NA,NA,NA,NA,NA,24,MRI (in vivo),32,12,NA,NA,NA,NA,mm3,SEM,1.62354135,NA,39.79949748,2.019254058,NA,NSS,4.6,1,NA,NA,SEM,24,Yes,No
Lv_2018,"Lv, Z. M.",2018,Expression of DCX and Transcription Factor Profiling in Photothrombosis-Induced Focal Ischemia in Mice,a,Mouse,C57BL/6,Male,None,NA,8,9,10,18,21,24,5,5,0,NA,NA,NA,Ketamine,Xylazine,Skull breached,Striatum,100,mg/kg,100,NR,NA,NA,LCD,NR,NR,NR,11,None,NA,NA,NA,NA,NA,48,Other histology (ex vivo),2.15,0.22,NA,NA,NA,NA,mm2,SD,NA,NA,0.22,NA,NA,None,NA,NA,NA,NA,NA,NA,Yes,No
Ma_2015,"Ma, J.",2015,Neural stem cell transplantation promotes behavioral recovery in a photothrombosis stroke model,a,Mouse,C57BL/6,Male,None,NA,NR,NR,NR,20,22.5,25,1,6,1,6,1,6,Ketamine,Xylazine,Skull thinned,Sensorimotor cortex,24,mg/kg,24,NR,NA,NA,Green laser,Diode-pumped solid state laser,NR,NR,3,NSC (neural stem cell) transplantation,Anti-apoptosis/regeneration,1050,Cells/uL,48,After stroke,168,Other histology (ex vivo),28.01,2.62,23.31,2.22,NA,NA,mm3,SEM,5.503920143,4.58037767,6.417663126,1.261060527,5.437867229,None,NA,NA,NA,NA,NA,NA,No,No
Madinier_2009,"Madinier, A.",2009,Microglial involvement in neuroplastic changes following focal brain ischemia in rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,290,300,310,5,6,5,6,1,6,Chloral hydrate,NA,"Scalp retracted, skull intact",NR,20,mg/kg,20,90,mW,NA,Diode-pumped solid state laser,Diode-pumped solid state laser,532,1,5,3-aminobenzamide (3-AB),Anti-inflammation,90,mg/kg,0,During stroke,4,Other histology (ex vivo),10.85,1.09,7.94,0.93,NA,NA,mm3,SEM,0.550481989,0.402841197,2.66994382,0.135461381,2.278025461,None,NA,NA,NA,NA,NA,NA,Yes,No
Madinier_2014_a,"Madinier, A.",2014,Enriched housing enhances recovery of limb placement ability and reduces aggrecan-containing perineuronal nets in the rat somatosensory cortex after experimental stroke,a,Rat,Sprague-Dawley,Male,None,NA,NR,8,NR,NR,NR,NR,1,7,1,7,1,7,Isoflurane,NA,"Scalp retracted, skull intact",NR,10,mg/ml,NA,NR,NA,NA,LCD,NR,NR,8,15,Enriched cage environment,Other,NA,NA,48,After stroke,1512,Other histology (ex vivo),53,5,52,7,NA,NA,mm3,SEM,2.68899036,2.638254693,13.22875656,0.67116979,18.52025918,Clark 28 point scale,NR,NR,NR,NR,NR,NA,Yes,No
Madinier_2014_b,"Madinier, A.",2014,Impact of estrogen receptor beta activation on functional recovery after experimental stroke,a,Rat,Sprague-Dawley,Male,None,NA,NR,8,NR,NR,NR,NR,1,8,3,8,3,2.666666667,Isoflurane,NA,"Scalp retracted, skull intact",NR,15,mg/ml,NA,NR,NA,NA,LCD,NR,NR,8,20,4-(1-phenyl-cyclohexyl)-phenol (AC-131),Multiple mechanisms,10,mg/kg,48,After stroke,408,Other histology (ex vivo),47,7,49,4,NA,NA,mm3,SEM,2.384576357,2.486047692,19.79898987,1.004514961,11.3137085,None,NA,NA,NA,NA,NA,NA,No,Yes
Maeda_2002,"Maeda, M.",2002,A combined treatment with tacrolimus (FK506) and recombinant tissue plasminogen activator for thrombotic focal cerebral ischemia in rats: increased neuroprotective efficacy and extended therapeutic time window,a,Rat,Sprague-Dawley,Male,None,NA,8,9,10,NR,NR,NR,1,7,3,11,3,2.333333333,Halothane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,3,10,FK506 (Tacrolimus),Other,1,mg/kg,0,During stroke,24,TTC (ex vivo),225.46,42.12,202.84,51.65,NA,NA,mm3,SD,11.43886352,10.29122273,42.12,2.136986301,51.65,None,NA,NA,NA,NA,NA,NA,No,Yes
Maeda_2002,"Maeda, M.",2002,A combined treatment with tacrolimus (FK506) and recombinant tissue plasminogen activator for thrombotic focal cerebral ischemia in rats: increased neuroprotective efficacy and extended therapeutic time window,b,Rat,Sprague-Dawley,Male,None,NA,8,9,10,NR,NR,NR,1,7,3,5,3,2.333333333,Halothane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,3,10,rTPA (Recombinant tissue plasminogen activator),Thrombolytics,3.2,mg/kg,0,During stroke,24,TTC (ex vivo),16.97,3.13,8.64,3.42,NA,NA,Direct rLV % whole brain,SD,16.97,8.64,3.13,3.13,3.42,None,NA,NA,NA,NA,NA,NA,No,Yes
Maeda_2009,"Maeda, M.",2009,Tacrolimus (FK506) suppresses rt-PA-induced hemorrhagic transformation in a rat thrombotic ischemia stroke model,a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,17,18,19,NR,NR,NR,1,14.5,3,14.5,3,4.833333333,Halothane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,3,10,FK506 (Tacrolimus),Other,1,mg/kg,3,After stroke,24,TTC (ex vivo),15.47,1.29,14.57,1.31,NA,NA,Direct rLV % whole brain,SEM,15.47,14.57,4.912173653,4.912173653,4.988331384,None,NA,NA,NA,NA,NA,NA,No,Yes
Maeda_2009,"Maeda, M.",2009,Tacrolimus (FK506) suppresses rt-PA-induced hemorrhagic transformation in a rat thrombotic ischemia stroke model,b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,17,18,19,NR,NR,NR,1,14.5,3,14.5,3,4.833333333,Halothane,NA,Skull breached,Middle cerebral artery (MCA),10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,3,10,rTPA (Recombinant tissue plasminogen activator),Thrombolytics,10,mg/kg,3,After stroke,24,TTC (ex vivo),15.47,1.29,18.36,0.81,NA,NA,Direct rLV % whole brain,SEM,15.47,18.36,4.912173653,4.912173653,3.084388108,None,NA,NA,NA,NA,NA,NA,No,Yes
Maeda_2005,"Maeda, M.",2005,Characterization of a novel thrombotic middle cerebral artery occlusion model in monkeys that exhibits progressive hypoperfusion and robust cortical infarction,a,Primate,"Cynomolgus monkey (Macaca fascicularis, crab-eating macaque)",Male,None,NA,156,208.5,261,3700,5100,6500,1,5,0,NA,NA,NA,Ketamine,Isoflurane,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,4000000,lux,0.58564,Xenon lamp,Xenon,540,NR,20,None,NA,NA,NA,NA,NA,24,Other histology (ex vivo),5137,850,NA,NA,NA,NA,mm3,SEM,NA,NA,1900.657781,NA,NA,Kito 100 point score,50,3,NA,NA,SEM,24,No,No
Marumo_2010,"Marumo, T.",2010,"The inhibitor of 20-HETE synthesis, TS-011, improves cerebral microcirculatory autoregulation impaired by middle cerebral artery occlusion in mice",a,Mouse,C57BL/6,Male,None,NA,NR,8,NR,20,23,26,1,9,1,9,1,9,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,6,mW,NA,Krypton laser,Krypton laser,568,NR,8,TS-011 (N-(3-chloro-4-morpholin-4-yl) phenyl-N?-hydroxyimido formamide),Blood flow,0.3,mg/kg,NR,NR,72,TTC (ex vivo),23.74,3.52,14.54,2.37,NA,NA,mm3,SEM,4.664871981,2.857086715,10.56,2.075023089,7.11,None,NA,NA,NA,NA,NA,NA,No,No
Masoero_2000,"Masoero, E.",2000,Effect of acute alcohol on ischemia-induced glutamate release and brain damage,a,Rat,Wistar,Male,None,NA,NR,NR,NR,200,225,250,1,5,2,6,2,2.5,Equitensine,NA,NR,NR,1.7,mg/100g,17,150,W,NA,Halogen lamp,Halogen,NR,NR,30,Alcohol,Harm induction,1.5,g/kg,-1,Before stroke,24,Other histology (ex vivo),0.044,0.007,0.038,0.009,NA,NA,cm2,SEM,NA,NA,0.015652476,NA,0.022045408,None,NA,NA,NA,NA,NA,NA,No,Yes
Masuko_2018,"Masuko, T.",2018,"N(1)-Nonyl-1,4-diaminobutane ameliorates brain infarction size in photochemically induced thrombosis model mice",a,Mouse,ddY,Male,None,NA,NR,NR,NR,30,32.5,35,1,10.5,3,10.5,3,3.5,Isoflurane,NA,NR,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,"C6-4 (N1-Hexyl-1,4-butanediamine)",Anti-oxidants,2,mg/kg,0.5,After stroke,24,TTC (ex vivo),71.76,3.09,66.95,7.21,NA,NA,mm3,NR,14.10072508,13.15556778,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Masuko_2018,"Masuko, T.",2018,"N(1)-Nonyl-1,4-diaminobutane ameliorates brain infarction size in photochemically induced thrombosis model mice",b,Mouse,ddY,Male,None,NA,NR,NR,NR,30,32.5,35,1,10.5,3,10.5,3,3.5,Isoflurane,NA,NR,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,"C9-4 (N1-Nonyl-1,4-butanediamine)",Anti-oxidants,10,mg/kg,0.5,After stroke,24,TTC (ex vivo),69.71,3.74,41.25,2.8,NA,NA,mm3,NR,13.69790336,8.10555894,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Masuko_2018,"Masuko, T.",2018,"N(1)-Nonyl-1,4-diaminobutane ameliorates brain infarction size in photochemically induced thrombosis model mice",c,Mouse,ddY,Male,None,NA,NR,NR,NR,30,32.5,35,1,10.5,3,10.5,3,3.5,Isoflurane,NA,NR,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,"C13-4 (N1-Tridecyl-1,4-butanediamine)",Anti-oxidants,2,mg/kg,0.5,After stroke,24,TTC (ex vivo),71.76,3.09,38.45,3.78,NA,NA,mm3,NR,14.10072508,7.555363424,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Masuko_2018,"Masuko, T.",2018,"N(1)-Nonyl-1,4-diaminobutane ameliorates brain infarction size in photochemically induced thrombosis model mice",d,Mouse,ddY,Male,None,NA,NR,NR,NR,30,32.5,35,1,10.5,5,10.5,5,2.1,Isoflurane,NA,NR,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,MDL72527,Anti-oxidants,100,mg/kg,0.5,After stroke,24,TTC (ex vivo),69.8,3.57,43.27,1.73,NA,NA,mm3,NR,13.71558822,8.502485705,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Masuko_2018,"Masuko, T.",2018,"N(1)-Nonyl-1,4-diaminobutane ameliorates brain infarction size in photochemically induced thrombosis model mice",e,Mouse,ddY,Male,None,NA,NR,NR,NR,30,32.5,35,1,10.5,5,10.5,5,2.1,Isoflurane,NA,NR,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,N-benzylhydroxylamine,Anti-oxidants,100,mg/kg,0.5,After stroke,24,TTC (ex vivo),69.8,3.57,43.78,2.65,NA,NA,mm3,NR,13.71558822,8.602699888,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Masuko_2018,"Masuko, T.",2018,"N(1)-Nonyl-1,4-diaminobutane ameliorates brain infarction size in photochemically induced thrombosis model mice",f,Mouse,ddY,Male,None,NA,NR,NR,NR,30,32.5,35,1,10.5,5,10.5,5,2.1,Isoflurane,NA,NR,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,NR,10,Edaravone (MCI-186),Anti-oxidants,10,mg/kg,0.5,After stroke,24,TTC (ex vivo),69.8,3.57,35.41,7.14,NA,NA,mm3,NR,13.71558822,6.958008292,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Matsuno_1993,"Matsuno, H.",1993,A simple and reproducible cerebral thrombosis model in rats induced by a photochemical reaction and the effect of a plasminogen-plasminogen activator chimera in this model,a,Rat,Wistar,Male,None,NA,NR,NR,NR,260,270,280,1,13,1,9,1,13,Sodium Pentobarbital,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,3,8,SUN9216,Thrombolytics,1,mg/kg,0.5,After stroke,24,TTC (ex vivo),19.1,0.76,14.9,1.27,NA,NA,Direct rLV % hemisphere,SEM,9.55,7.45,2.740218969,1.370109485,3.81,None,NA,NA,NA,NA,NA,NA,Yes,No
Maxwell_2005,"Maxwell, K. A.",2005,Induction of reproducible focal ischemic lesions in neonatal mice by photothrombosis,a,Mouse,CD-1,Mixed,None,NA,NR,1,NR,NR,NR,NR,3,4,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Medial frontal cortex,50,mg/kg,50,20,mW,NA,Diode laser,Diode laser,532,2.4,0.75,None,NA,NA,NA,NA,NA,48,Other histology (ex vivo),2.99,0.94,NA,NA,NA,NA,mm3,SEM,0.587530212,NA,1.88,0.369416989,NA,None,NA,NA,NA,NA,NA,NA,No,No
Maxwell_2005,"Maxwell, K. A.",2005,Induction of reproducible focal ischemic lesions in neonatal mice by photothrombosis,b,Mouse,CD-1,Mixed,None,NA,NR,1,NR,NR,NR,NR,3,4,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Medial frontal cortex,50,mg/kg,50,20,mW,NA,Diode laser,Diode laser,532,2.4,1,None,NA,NA,NA,NA,NA,48,Other histology (ex vivo),6.17,1.32,NA,NA,NA,NA,mm3,SEM,1.212395119,NA,2.64,0.518755772,NA,None,NA,NA,NA,NA,NA,NA,No,No
Maxwell_2005,"Maxwell, K. A.",2005,Induction of reproducible focal ischemic lesions in neonatal mice by photothrombosis,c,Mouse,CD-1,Mixed,None,NA,NR,1,NR,NR,NR,NR,3,4,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Medial frontal cortex,50,mg/kg,50,20,mW,NA,Diode laser,Diode laser,532,2.4,1.3,None,NA,NA,NA,NA,NA,48,Other histology (ex vivo),10.93,2.11,NA,NA,NA,NA,mm3,SEM,2.147727496,NA,4.22,0.829223242,NA,None,NA,NA,NA,NA,NA,NA,No,No
Metz_2005,"Metz, G. A.",2005,Motor improvements after focal cortical ischemia in adult rats are mediated by compensatory mechanisms,a,Rat,Wistar,Female,None,NA,NR,17,NR,200,230,260,1,21,0,NA,NA,NA,Enflurane,NA,"Scalp retracted, skull intact",Forelimb sensorimotor cortex,4,mg,17.39130435,NR,NA,NA,Cold light,NR,NR,2.4,20,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),2.76,0.85,NA,NA,NA,NA,mm3,SE,0.140030441,NA,3.895189341,0.19762503,NA,None,NA,NA,NA,NA,NA,NA,No,No
Mikulski_2001,"Mikulski, A.",2001,The effects of oral and intravenous direct thrombin inhibitors on the size of photochemically induced cortical infarction in rats,a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,250,310,370,1,12,2,12,2,6,Isoflurane,NA,"Scalp retracted, skull intact",NR,20,mg/kg,20,100000,lux,0.014641,Halogen lamp,Halogen,570,5.2,10,Melagatran/Ximelagatran,Thrombolytics,13,mg/kg,-0.5,Before stroke,20,Other histology (ex vivo),2.38,2.17,1.12,1.01,NA,NA,mm3,SD,0.120750888,0.056823947,2.17,0.110096398,1.01,None,NA,NA,NA,NA,NA,NA,No,No
Mikulski_2001,"Mikulski, A.",2001,The effects of oral and intravenous direct thrombin inhibitors on the size of photochemically induced cortical infarction in rats,b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,250,310,370,1,12,2,12,2,6,Isoflurane,NA,"Scalp retracted, skull intact",NR,20,mg/kg,20,100000,lux,0.014641,Halogen lamp,Halogen,570,5.2,10,Inogatran,Thrombolytics,44,mg/kg,-0.5,Before stroke,20,Other histology (ex vivo),2.38,2.17,1.93,1.08,NA,NA,mm3,SD,0.120750888,0.097919838,2.17,0.110096398,1.08,None,NA,NA,NA,NA,NA,NA,No,Yes
Millerot_2005,"Millerot, E.",2005,Serum ferritin in stroke: a marker of increased body iron stores or stroke severity?,a,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,NR,NR,2,6,2,6,1,6,Chloral hydrate,NA,NR,Cerebral cortex,20,mg/kg,20,30,mW,NA,Diode-pumped solid state laser,Diode-pumped solid state laser,532,NR,NR,Iron dextran,Harm induction,25,mg/kg,-0.25,Before stroke,NR,Other histology (ex vivo),22.1,8.6,23.9,7.6,NA,NA,mm3,SD,1.121258245,1.212582445,8.6,0.436326738,7.6,Other,NR,NR,NR,NR,NR,24,No,No
Millerot_2005,"Millerot, E.",2005,Serum ferritin in stroke: a marker of increased body iron stores or stroke severity?,b,Rat,Wistar,Male,None,NA,NR,NR,NR,NR,NR,NR,2,4,2,7,1,4,Chloral hydrate,NA,NR,Cerebral cortex,20,mg/kg,20,30,mW,NA,Diode-pumped solid state laser,Diode-pumped solid state laser,532,NR,NR,Ferric Chloride (FeCl3),Harm induction,560,ug/kg,-0.25,Before stroke,NR,Other histology (ex vivo),32.6,7.7,32.4,6.5,NA,NA,mm3,SD,1.65398275,1.643835616,7.7,0.390664637,6.5,Other,NR,NR,NR,NR,NR,24,No,No
Millerot-Serrurot_2007,"Millerot-Serrurot, E.",2007,"Effect of early decrease in the lesion size on late brain tissue loss, synaptophysin expression and functionality after a focal brain lesion in rats",a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,300,350,2,5,2,5,1,5,Chloral hydrate,NA,"Scalp retracted, skull intact",Cerebral cortex,20,mg/kg,20,90,mW,NA,Diode-pumped solid state laser,Diode-pumped solid state laser,532,1,5,"2,2'-Dipyridyl (2,2'-Bipyridine)",Anti-oxidants,20,mg/kg,-0.25,Before stroke,24,Other histology (ex vivo),79.68,2.08,38.56,4.16,NA,NA,mm3,SEM,4.04261796,1.956367326,4.651021393,0.235972673,9.302042786,None,NA,NA,NA,NA,NA,NA,Yes,Yes
Miyazaki_2011,"Miyazaki, T.",2011,Distinct effects of tissue-type plasminogen activator and SMTP-7 on cerebrovascular inflammation following thrombolytic reperfusion,a,Mouse,CD-1,Male,None,NA,NR,NR,NR,25,30,35,1,6,2,6,2,3,Isoflurane,NA,Skull breached,Distal middle cerebral artery (dMCA),40,mg/kg,40,15,mW,NA,Diode laser,Diode laser,561,NR,10,rTPA (Recombinant tissue plasminogen activator),Thrombolytics,10,mg/kg,0.5,After stroke,24,TTC (ex vivo),6.97,1.22,17.28,2.48,NA,NA,mm3,SEM,1.369593838,3.395492327,2.988377486,0.58721139,6.074734562,None,NA,NA,NA,NA,NA,NA,No,No
Miyazaki_2011,"Miyazaki, T.",2011,Distinct effects of tissue-type plasminogen activator and SMTP-7 on cerebrovascular inflammation following thrombolytic reperfusion,b,Mouse,CD-1,Male,None,NA,NR,NR,NR,25,30,35,1,6,2,6,2,3,Isoflurane,NA,Skull breached,Distal middle cerebral artery (dMCA),40,mg/kg,40,15,mW,NA,Diode laser,Diode laser,561,NR,10,SMTP-7,Anti-inflammation,10,mg/kg,0.5,After stroke,24,TTC (ex vivo),6.97,1.22,5.6,1.3,NA,NA,mm3,SEM,1.369593838,1.100391032,2.988377486,0.58721139,3.184336666,None,NA,NA,NA,NA,NA,NA,No,No
Mizuno_1998,"Mizuno, A.",1998,"Inhibitory effect of MCI-186, a free radical scavenger, on cerebral ischemia following rat middle cerebral artery occlusion",a,Rat,Wistar,Male,None,NA,NR,NR,NR,240,255,270,1,7,1,7,1,7,Halothane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,NR,NA,NA,Xenon lamp,Xenon,540,3,10,Edaravone (MCI-186),Anti-oxidants,3,mg/kg,0.3,After stroke,24,TTC (ex vivo),23.67,1.47,17.92,1.46,NA,NA,Direct rLV % whole brain,SE,23.67,17.92,3.889254427,3.889254427,3.862796914,None,NA,NA,NA,NA,NA,NA,No,No
Mizutani_2016,"Mizutani, K.",2016,Effects of exercise and bryostatin-1 on serotonin dynamics after cerebral infarction,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,380,407.5,435,1,3,3,3,3,1,Isoflurane,NA,"Scalp retracted, skull intact",Forelimb and hindlimb motor cortex,30,mg/kg,30,NR,NA,NA,NR,NR,540,3,20,Bryostatin-1,Excitotoxicity,10,ug/m2 of body surface area,120,After stroke,192,Other histology (ex vivo),5.5,1.1,5.5,0.9,NA,NA,% (not specified percentage of),SD,NA,NA,1.1,NA,0.9,None,NA,NA,NA,NA,NA,NA,No,Yes
Mizutani_2016,"Mizutani, K.",2016,Effects of exercise and bryostatin-1 on serotonin dynamics after cerebral infarction,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,380,407.5,435,1,3,3,3,3,1,Isoflurane,NA,"Scalp retracted, skull intact",Forelimb and hindlimb motor cortex,30,mg/kg,30,NR,NA,NA,NR,NR,540,3,20,Exercise cage environment,Other,8,Days,NR,After stroke,192,Other histology (ex vivo),5.5,1.1,5.7,0.7,NA,NA,% (not specified percentage of),SD,NA,NA,1.1,NA,0.7,None,NA,NA,NA,NA,NA,NA,No,Yes
Moller_2015,"Moller, K.",2015,Arterial Hypertension Aggravates Innate Immune Responses after Experimental Stroke,a,Rat,Wistar-Kyoto,NR,None,NA,12,13,14,NR,NR,NR,2,18,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Frontal cortex,0.3,mL,NA,NR,NA,NA,Cold light,NR,NR,4.5,20,None,NA,NA,NA,NA,NA,24,MRI (in vivo),5.9,3.7,NA,NA,NA,NA,Direct rLV % hemisphere,SD,2.95,NA,3.7,1.85,NA,mNSS,NR,NR,NA,NA,NR,24,Yes,No
Moller_2015,"Moller, K.",2015,Arterial Hypertension Aggravates Innate Immune Responses after Experimental Stroke,b,Rat,Spontaneously Hypertensive Rat (SHR),NR,Hypertension,Genetic,12,13,14,NR,NR,NR,2,22,0,NA,NA,NA,Isoflurane,NA,"Scalp retracted, skull intact",Frontal cortex,0.3,mL,NA,NR,NA,NA,Cold light,NR,NR,4.5,20,None,NA,NA,NA,NA,NA,24,MRI (in vivo),6.8,5.4,NA,NA,NA,NA,Direct rLV % hemisphere,SD,3.4,NA,5.4,2.7,NA,mNSS,NR,NR,NA,NA,NR,24,Yes,No
Moon_2016,"Moon, J. H.",2016,Neuroprotective effects of systemic cerebral endothelial cell transplantation in a rat model of cerebral ischemia,a,Rat,Sprague-Dawley,Male,None,NA,NR,8,NR,250,275,300,1,5,1,5,1,5,Isoflurane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,50,mg/kg,50,NR,NA,NA,LCD,NR,NR,4.5,10,hCMEC/D3 (human cerebral microendothelial cells),Anti-apoptosis/regeneration,1000000,Cells,NR,NR,168,TTC (ex vivo),10.01,0.66,6.81,1.08,NA,NA,Indirect rLV % whole brain,SD,10.01,6.81,0.66,0.66,1.08,None,NA,NA,NA,NA,NA,NA,Yes,No
Moon_2009_a,"Moon, S. K.",2009,Both compensation and recovery of skilled reaching following small photothrombotic stroke to motor cortex in the rat,a,Rat,Long Evans,Female,None,NA,13,13.5,14,NR,NR,NR,1,8,0,NA,NA,NA,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Motor cortex,10,mg/kg,10,78000,lux,0.01141998,Fibre-optic,NR,NR,5,20,None,NA,NA,NA,NA,NA,504,Other histology (ex vivo),2.84,0.58,NA,NA,NA,NA,mm3,SEM,0.144089295,NA,1.640487732,0.08323124,NA,None,NA,NA,NA,NA,NA,NA,No,No
Moon_2009_b,"Moon, S. K.",2009,Effect of prolonged cortical stimulation differs with size of infarct after sensorimotor cortical lesions in rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,2,10,0,NA,NA,NA,Ketamine,Xylazine,Other,Forelimb motor cortex,20,mg/kg,20,NR,NA,NA,Cold light,NR,NR,6,18,None,NA,NA,NA,NA,NA,336,Other histology (ex vivo),10.63,7.22,NA,NA,NA,NA,mm3,SD,0.539320142,NA,7.22,0.366311517,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Moon_2009_b,"Moon, S. K.",2009,Effect of prolonged cortical stimulation differs with size of infarct after sensorimotor cortical lesions in rats,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,2,13,0,NA,NA,NA,Ketamine,Xylazine,Other,Forelimb motor cortex,20,mg/kg,20,NR,NA,NA,Cold light,NR,NR,4,18,None,NA,NA,NA,NA,NA,336,Other histology (ex vivo),24,6.94,NA,NA,NA,NA,mm3,SD,1.217656012,NA,6.94,0.35210553,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Moriguchi_2004_a,"Moriguchi, A.",2004,"Antithrombotic effects of FK419, a novel nonpeptide platelet GPIIb/IIIa antagonist, in a guinea pig photochemically induced middle cerebral artery thrombosis model: comparison with ozagrel and argatroban",a,Guinea Pig,Hartley,Male,None,NA,NR,NR,NR,342.2,484.2,626.2,1,12.5,6,12.5,6,2.083333333,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,600000,lux,0.087846,Xenon lamp,Xenon,540,3,10,FK419,Thrombolytics,0.2,mg/kg/h,0.083,During stroke,24,TTC (ex vivo),12.14,0.92,6.5,0.66,NA,NA,% (not specified percentage of),SEM,NA,NA,3.252691193,NA,2.333452378,Bederson Scale,4.12,0.47,2.82,0.38,SEM,24,No,Yes
Moriguchi_2004_a,"Moriguchi, A.",2004,"Antithrombotic effects of FK419, a novel nonpeptide platelet GPIIb/IIIa antagonist, in a guinea pig photochemically induced middle cerebral artery thrombosis model: comparison with ozagrel and argatroban",b,Guinea Pig,Hartley,Male,None,NA,NR,NR,NR,342.2,484.2,626.2,1,12.5,6,12.5,6,2.083333333,Isoflurane,NA,Skull breached,Middle cerebral artery (MCA),20,mg/kg,20,600000,lux,0.087846,Xenon lamp,Xenon,540,3,10,Ozagrel Sodium,Thrombolytics,100,mg/kg/h,0.083,During stroke,24,TTC (ex vivo),12.14,0.92,9.09,0.99,NA,NA,% (not specified percentage of),SEM,NA,NA,3.252691193,NA,3.500178567,Bederson Scale,NR,NR,NR,NR,NR,24,No,Yes
